,_id,product,specifications
0,66f387b6ed22534aedbf7755,Room Dustbin,"• Stainless steel outer and inner bin
• Fire retardant liner
• Size : 200*300mm
• Finish : Matt / Mirror"
1,66f387b6ed22534aedbf775c,Dock Station without Bluetooth,"• Compatible with ipad and mobile phones
• Ac power adaptor
• Charging ports : double usb
• Driver units : 27mm
• Power adaptor : AC 110-240v, 50/60hz, DC 5v 3a
Feature
• 3.2 Inch lcd screen
• 4 Dimming levels
• Double usb ports smart charging
• Easy alarm clock set-up
• Adjustable alarm volume
• Music alarm ringtone
• Snooze function
• Thermometer function with OF/OC switch
• Without bluetooth "
2,66f387b6ed22534aedbf7758,Room Dustbin,"• Specially designed twin
recyable bin with logo
• Powder coated liner
• Size : 300*240*280mm"
3,66f387b6ed22534aedbf7751,Room Dustbin,"• Powder coated with stainless steel ring
covered with Leatherette
• Fire retardant liner
• Size : 225*270mm
• Shape : Round "
4,66f387b6ed22534aedbf7753,Room Dustbin,"• Powder coated with stainless steel ring
• Fire retardant liner
• Size : 225*270mm
• Shape : Round "
5,66f387b6ed22534aedbf775b,Dock Station,"• 2.6 Inch Lcd display - fm radio with
20 stations storage
• Charging and playing your smartphone
• Snooze / sleep functions - single function key
for easy operation
• Single alarm and choose to wake up to radio or
buzzer
• Dual usb chargers : 5v 1a & 5v 2.0a
• Backlit lcd with 4 dimming levels
• Universal bluetooth speaker, compatible with
any smartphones
• 3.5mm stereo line-in cable (included)
• Anti-theft security cable is included
• Certification : CE / ROHS / FCC"
6,66f387b6ed22534aedbf7754,Room Dustbin,"• Powder coated with stainless steel ring
• Fire retardant liner
• Size : 225*270mm
• Shape :   Oval"
7,66f387b6ed22534aedbf7752,Room Dustbin,"• Powder coated with stainless steel ring
covered with Leatherette
• Fire retardant liner
• Size : 225*270mm
• Shape :  Oval"
8,66f387b6ed22534aedbf775a,Room Dustbin,"• Rectangle 10 litres outer bin in black powder coated finish
• Comes in 2-piece inner pp liners
• Bin liners in black and blue colors
• With printed recycle and non-recycle insignias for easy
differentiation
• Easy to remove and clean
• Size: 300 x 240 x 280 mm"
9,66f387b6ed22534aedbf7756,Room Dustbin,"STAINLESS STEEL IN RED BRONZE PLATED FIRE RETARDANT LINER
SIZE : 200*300MM"
